"","statistic","p.value","parameter","method","p_BH","significant"
"X89106_980.277_12.019_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",39.8226488749389,4.93567761153894e-07,6,"Kruskal-Wallis rank sum test",4.07956189491927e-05,"Significant"
"X65395_520.343_8.472_NA",39.7103335379578,5.19284485774662e-07,6,"Kruskal-Wallis rank sum test",4.25345454474165e-05,"Significant"
"X78606_399.358_10.16_NA;Massbank: Myristamidopropyl betaine|carboxymethyl-dimethyl-[3-(tetradecanoylamino)propyl]azanium",39.6582233476571,5.31664408968352e-07,6,"Kruskal-Wallis rank sum test",4.31597571994666e-05,"Significant"
"X53803_377.812_6.957_NA",39.5634231475833,5.54943642691774e-07,6,"Kruskal-Wallis rank sum test",4.46508637110939e-05,"Significant"
"X85203_559.362_10.909_NA",39.4798521587887,5.76304378531894e-07,6,"Kruskal-Wallis rank sum test",4.59628018387016e-05,"Significant"
"X92216_1295.364_12.987_NA;Contaminant vial septum ThermoFisher C5000-44B",39.4056067116841,5.95966206879695e-07,6,"Kruskal-Wallis rank sum test",4.6718352033968e-05,"Significant"
"X92161_1296.362_12.976_NA;Contaminant vial septum ThermoFisher C5000-44B",39.4052782897682,5.96054645395984e-07,6,"Kruskal-Wallis rank sum test",4.6718352033968e-05,"Significant"
"X89168_871.572_11.876_Pheophytin a;Chlorophyll a",39.381378761394,6.02525537751496e-07,6,"Kruskal-Wallis rank sum test",4.68218990533043e-05,"Significant"
"X46519_301.899_6.105_NA",39.3195795367732,6.19583571527161e-07,6,"Kruskal-Wallis rank sum test",4.77394392569911e-05,"Significant"
"X55655_342.133_7.188_NA",39.0021829292738,7.15055314168148e-07,6,"Kruskal-Wallis rank sum test",5.45776929683806e-05,"Significant"
"X2545_297.108_1.082_NA",38.9858706773072,7.20339106489845e-07,6,"Kruskal-Wallis rank sum test",5.45776929683806e-05,"Significant"
"X76840_342.227_9.953_NA",38.7941247186413,7.85435863745138e-07,6,"Kruskal-Wallis rank sum test",5.90180402741388e-05,"Significant"
"X43446_222.112_5.835_NA;Untitled CollisionEnergy:205060",38.6479946797625,8.38944004717643e-07,6,"Kruskal-Wallis rank sum test",6.22685073006313e-05,"Significant"
"X73503_325.2_9.562_NA",38.6388991201145,8.4239181675953e-07,6,"Kruskal-Wallis rank sum test",6.22685073006313e-05,"Significant"
"X1985_174.055_0.945_NA",38.5720661960303,8.68161586384334e-07,6,"Kruskal-Wallis rank sum test",6.3562130113095e-05,"Significant"
"X92133_871.572_12.965_Pheophytin a;Chlorophyll a",38.5575173930837,8.73874424124161e-07,6,"Kruskal-Wallis rank sum test",6.3562130113095e-05,"Significant"
"X55185_327.275_7.113_NA",38.4689149785145,9.09481379735205e-07,6,"Kruskal-Wallis rank sum test",6.56270214647022e-05,"Significant"
"X89986_1296.362_12.056_NA;Contaminant vial septum ThermoFisher C5000-44B",38.2027726621649,1.02534219182442e-06,6,"Kruskal-Wallis rank sum test",7.34048126619496e-05,"Significant"
"X74527_351.216_9.596_NA",38.0257826887661,1.11039850874337e-06,6,"Kruskal-Wallis rank sum test",7.88729940741773e-05,"Significant"
"X9884_190.05_2.832_NA",38.0078064252098,1.11942023302815e-06,6,"Kruskal-Wallis rank sum test",7.88974322379224e-05,"Significant"
"X58579_617.295_7.551_NA",37.9406154082259,1.15379104996279e-06,6,"Kruskal-Wallis rank sum test",8.01027645985658e-05,"Significant"
"X2741_337.139_1.167_NA",37.9392853488848,1.1544819083141e-06,6,"Kruskal-Wallis rank sum test",8.01027645985658e-05,"Significant"
"X53771_383.806_6.95_NA",37.9230413698607,1.16295258766066e-06,6,"Kruskal-Wallis rank sum test",8.01027645985658e-05,"Significant"
"X40469_214.112_5.571_NA",37.894769266904,1.17784308810849e-06,6,"Kruskal-Wallis rank sum test",8.05184162186647e-05,"Significant"
"X49982_574.374_6.51_NA",37.6031921424186,1.34291079982104e-06,6,"Kruskal-Wallis rank sum test",9.11174999400965e-05,"Significant"
"X89550_701.253_12.097_NA",37.5396025168815,1.38185745919415e-06,6,"Kruskal-Wallis rank sum test",9.30655408814315e-05,"Significant"
"X33711_321.101_5.007_NA",37.3058522611009,1.53491569993974e-06,6,"Kruskal-Wallis rank sum test",0.000102613628998913,"Significant"
"X11171_192.138_3.012_NA",37.2221378146102,1.59373375029402e-06,6,"Kruskal-Wallis rank sum test",0.000105768082172797,"Significant"
"X2949_285.144_1.37_Usujirene",37.1853974831184,1.62024964375327e-06,6,"Kruskal-Wallis rank sum test",0.000106748621456556,"Significant"
"X92380_755.487_13.069_NA",37.054427562922,1.71838832175715e-06,6,"Kruskal-Wallis rank sum test",0.000112399903751195,"Significant"
"X13685_238.093_3.249_NA",36.8827665772776,1.85601224629411e-06,6,"Kruskal-Wallis rank sum test",0.000120534738166472,"Significant"
"X9337_208.119_2.767_NA",36.8172703089831,1.91136095160261e-06,6,"Kruskal-Wallis rank sum test",0.000123248891999794,"Significant"
"X64690_225.148_8.37_NA",36.7748695518724,1.94806363771767e-06,6,"Kruskal-Wallis rank sum test",0.000124730947845979,"Significant"
"X75943_526.292_9.876_PE(22:6/0:0); [M+H]+ C27H45N1O7P1",36.6718129731943,2.04021584569874e-06,6,"Kruskal-Wallis rank sum test",0.000129717779504146,"Significant"
"X78052_547.325_10.093_NA",36.6291692244731,2.07960244165984e-06,6,"Kruskal-Wallis rank sum test",0.000131303787497022,"Significant"
"X54143_592.384_6.99_NA",36.582982913853,2.12311341749487e-06,6,"Kruskal-Wallis rank sum test",0.000132990151641808,"Significant"
"X67387_223.133_8.773_NA",36.5699381010846,2.13556556749934e-06,6,"Kruskal-Wallis rank sum test",0.000132990151641808,"Significant"
"X92039_981.278_12.937_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",36.4061641381743,2.29821106415331e-06,6,"Kruskal-Wallis rank sum test",0.00014086941249736,"Significant"
"X2220_271.128_0.923_NA",36.3942167996727,2.31054660158823e-06,6,"Kruskal-Wallis rank sum test",0.00014086941249736,"Significant"
"X90734_833.24_12.432_NA;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",36.3892997673337,2.31564248333967e-06,6,"Kruskal-Wallis rank sum test",0.00014086941249736,"Significant"
"X80185_413.268_10.231_NA",36.381195007162,2.32406641823626e-06,6,"Kruskal-Wallis rank sum test",0.00014086941249736,"Significant"
"X17667_521.002_3.616_NA",36.2540285451197,2.46029726596996e-06,6,"Kruskal-Wallis rank sum test",0.000148139223458271,"Significant"
"X6171_162.055_2.345_NA",36.1065658890935,2.62822863636236e-06,6,"Kruskal-Wallis rank sum test",0.000157209570801359,"Significant"
"X77078_468.295_9.991_NA",36.0172677511766,2.73540588080303e-06,6,"Kruskal-Wallis rank sum test",0.000162551047504975,"Significant"
"X89806_832.239_12.169_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",35.9565275219971,2.81077662640606e-06,6,"Kruskal-Wallis rank sum test",0.00016594533173561,"Significant"
"X33529_200.164_4.989_NA",35.8971429302229,2.88645835998149e-06,6,"Kruskal-Wallis rank sum test",0.000169314060702914,"Significant"
"X83266_209.19_10.639_NA;b-Caryophyllene oxide",35.8697641702477,2.92202902481729e-06,6,"Kruskal-Wallis rank sum test",0.000170301845472044,"Significant"
"X82429_430.295_10.594_NA",35.6733232251188,3.19033601773308e-06,6,"Kruskal-Wallis rank sum test",0.000184755000466428,"Significant"
"X86919_424.363_11.213_NA",35.6371367914877,3.24236461240236e-06,6,"Kruskal-Wallis rank sum test",0.000186579614278242,"Significant"
"X6750_198.022_2.44_NA",35.5338934929405,3.39548381421374e-06,6,"Kruskal-Wallis rank sum test",0.000194161879489505,"Significant"
"X80109_483.273_10.217_NA;PE(16:1/0:0); [M+H]+ C21H43N1O7P1",35.5070876816042,3.4363997883639e-06,6,"Kruskal-Wallis rank sum test",0.000195273417973778,"Significant"
"X29323_474.253_4.629_NA",35.3239870025862,3.72927983880091e-06,6,"Kruskal-Wallis rank sum test",0.000210600076362595,"Significant"
"X73725_493.279_9.664_NA",35.2418764067936,3.86854454179896e-06,6,"Kruskal-Wallis rank sum test",0.000216769996741693,"Significant"
"X90671_835.239_12.413_NA;2-[4-[4-[3,5-dihydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]phenyl]-2,5-bis(4-hydroxyphenyl)oxolan-3-yl]-2,6-dihydroxyphenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",35.2316656435441,3.88621969521513e-06,6,"Kruskal-Wallis rank sum test",0.000216769996741693,"Significant"
"X49733_442.191_6.505_NA",35.2091748516473,3.92543526533025e-06,6,"Kruskal-Wallis rank sum test",0.000217622301416967,"Significant"
"X82557_217.159_10.601_NA",35.0468487824842,4.22036421800831e-06,6,"Kruskal-Wallis rank sum test",0.000232554857394737,"Significant"
"X86974_504.319_11.227_NA",34.9211249232658,4.46381754931585e-06,6,"Kruskal-Wallis rank sum test",0.000244488127460119,"Significant"
"X6979_328.15_2.472_NA",34.9033021280949,4.49943976083288e-06,6,"Kruskal-Wallis rank sum test",0.000244963510811332,"Significant"
"X73237_371.327_9.576_NA;Spectral Match to Heptadecasphing-4-enine from NIST14",34.8483706773071,4.6110153807903e-06,6,"Kruskal-Wallis rank sum test",0.000249543760965151,"Significant"
"X89518_981.277_12.062_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",34.7549416820135,4.80712936921155e-06,6,"Kruskal-Wallis rank sum test",0.000258617871153085,"Significant"
"X91699_932.629_12.77_NA;SQDG(16:0/18:3); [M+NH4]+ C43H80N1O12S1",34.7387737875997,4.84189748722892e-06,6,"Kruskal-Wallis rank sum test",0.000258956070316973,"Significant"
"X77997_323.185_10.063_NA",34.5102695927973,5.36082368972595e-06,6,"Kruskal-Wallis rank sum test",0.000285032801093499,"Significant"
"X22021_504.337_4.013_NA",34.4167280540208,5.58884752074767e-06,6,"Kruskal-Wallis rank sum test",0.000295429079410685,"Significant"
"X74082_283.169_9.666_NA",34.2270411295273,6.08120785102095e-06,6,"Kruskal-Wallis rank sum test",0.000319597351338049,"Significant"
"X84582_474.378_10.728_NA;Spectral Match to 1-Hexadecanoyl-2-sn-glycero-3-phosphate from NIST14",34.1133312870883,6.39674922110398e-06,6,"Kruskal-Wallis rank sum test",0.000334248528265962,"Significant"
"X71604_179.143_9.383_NA;Spectral Match to Sumaresinolic acid from NIST14",34.0757596685083,6.50453914914391e-06,6,"Kruskal-Wallis rank sum test",0.00033793868539438,"Significant"
"X78042_291.195_9.992_NA",33.9968283200328,6.73689226122876e-06,6,"Kruskal-Wallis rank sum test",0.000348021729767567,"Significant"
"X90662_1296.362_12.49_NA;Contaminant vial septum ThermoFisher C5000-44B",33.9294122160835,6.94185590528599e-06,6,"Kruskal-Wallis rank sum test",0.000356583920287346,"Significant"
"X31188_226.216_4.823_NA;Gly-C14:1",33.8813049928381,7.09188655479516e-06,6,"Kruskal-Wallis rank sum test",0.000362244003124706,"Significant"
"X80527_460.363_10.217_NA",33.800938714958,7.34973211009174e-06,6,"Kruskal-Wallis rank sum test",0.000373317119245554,"Significant"
"X77383_237.112_10.022_NA",33.7718027419686,7.44549084546068e-06,6,"Kruskal-Wallis rank sum test",0.000374286346191656,"Significant"
"X7675_206.045_2.573_NA",33.7650296705544,7.46792805301691e-06,6,"Kruskal-Wallis rank sum test",0.000374286346191656,"Significant"
"X24367_503.306_4.208_Spectral Match to Undecaethylene glycol from NIST14;Spectral Match to Nonaethylene glycol from NIST14",33.7576913239207,7.49231357312818e-06,6,"Kruskal-Wallis rank sum test",0.000374286346191656,"Significant"
"X2140_267.097_0.989_NA",33.6231609371804,7.95362407797889e-06,6,"Kruskal-Wallis rank sum test",0.000395160383152918,"Significant"
"X24543_474.253_4.227_NA",33.5363527969171,8.26613861150275e-06,6,"Kruskal-Wallis rank sum test",0.000408455066607516,"Significant"
"X2219_218.139_1.024_NA",33.4478647531455,8.59723755675356e-06,6,"Kruskal-Wallis rank sum test",0.000422519372248667,"Significant"
"X812_296.135_0.638_NA",33.4024017802333,8.7724301963236e-06,6,"Kruskal-Wallis rank sum test",0.000428811480349324,"Significant"
"X43754_397.022_5.862_NA",33.3755043349291,8.87774274686813e-06,6,"Kruskal-Wallis rank sum test",0.000431321309751119,"Significant"
"X90184_980.277_12.362_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",33.3567634840826,8.95185984343856e-06,6,"Kruskal-Wallis rank sum test",0.000431321309751119,"Significant"
"X64670_379.211_8.367_NA",33.353181911193,8.96609409843394e-06,6,"Kruskal-Wallis rank sum test",0.000431321309751119,"Significant"
"X66849_526.301_8.691_NA",33.2888658686311,9.22556099601876e-06,6,"Kruskal-Wallis rank sum test",0.000441467371451593,"Significant"
"X82941_219.174_10.643_NA",33.2675337630449,9.31325415134964e-06,6,"Kruskal-Wallis rank sum test",0.000443330401801419,"Significant"
"X88951_1222.343_11.853_NA;Contaminant vial septum ThermoFisher C5000-44B",33.2347874114111,9.44948093225438e-06,6,"Kruskal-Wallis rank sum test",0.000447472294979462,"Significant"
"X56682_249.148_7.304_NA;Parthenolide [M+NH4]+",33.2068421321875,9.56729671365966e-06,6,"Kruskal-Wallis rank sum test",0.000450703946738827,"Significant"
"X74836_259.169_9.75_NA",33.0979818907305,1.00403018284192e-05,6,"Kruskal-Wallis rank sum test",0.000470548578474161,"Significant"
"X37866_916.568_5.35_NA",33.068689891549,1.01714902420165e-05,6,"Kruskal-Wallis rank sum test",0.000472252833417999,"Significant"
"X66458_356.279_8.643_NA",33.06668099327,1.01805494225613e-05,6,"Kruskal-Wallis rank sum test",0.000472252833417999,"Significant"
"X63822_223.133_8.209_NA",32.9193651524453,1.08671510799603e-05,6,"Kruskal-Wallis rank sum test",0.000499265820663706,"Significant"
"X81966_347.258_10.651_NA",32.9182115817475,1.08727048494736e-05,6,"Kruskal-Wallis rank sum test",0.000499265820663706,"Significant"
"X36782_872.542_5.256_NA",32.708450992429,1.19308181924438e-05,6,"Kruskal-Wallis rank sum test",0.000545100497516075,"Significant"
"X2053_317.134_0.971_NA",32.6658379373849,1.21579404435125e-05,6,"Kruskal-Wallis rank sum test",0.00055153472516399,"Significant"
"X26276_382.233_4.549_NA",32.6593360533874,1.21929696170218e-05,6,"Kruskal-Wallis rank sum test",0.00055153472516399,"Significant"
"X43306_390.264_5.965_NA",32.6193779414773,1.24104536378675e-05,6,"Kruskal-Wallis rank sum test",0.000556418693378923,"Significant"
"X1693_347.145_0.854_Porphyra-334",32.6170324329854,1.24233386225166e-05,6,"Kruskal-Wallis rank sum test",0.000556418693378923,"Significant"
"X75108_510.306_9.784_NA",32.5273966646205,1.29258166894081e-05,6,"Kruskal-Wallis rank sum test",0.000576085908529894,"Significant"
"X74284_280.263_9.696_NA",32.504841478855,1.30553973071225e-05,6,"Kruskal-Wallis rank sum test",0.000579022791787109,"Significant"
"X80768_195.174_10.282_NA",32.4643927767547,1.32910111295994e-05,6,"Kruskal-Wallis rank sum test",0.000585912262955406,"Significant"
"X19529_460.311_3.79_NA;Spectral Match to Undecaethylene glycol from NIST14",32.4561361776141,1.33396214729178e-05,6,"Kruskal-Wallis rank sum test",0.000585912262955406,"Significant"
"X51350_297.169_6.661_NA",32.2364410681399,1.46998378365305e-05,6,"Kruskal-Wallis rank sum test",0.000642552526969881,"Significant"
"X59776_516.332_7.695_NA",32.2206773071414,1.48025636966032e-05,6,"Kruskal-Wallis rank sum test",0.000643946933634049,"Significant"
"X50121_440.255_6.526_NA",32.1606276856968,1.52004425535877e-05,6,"Kruskal-Wallis rank sum test",0.000658106779510567,"Significant"
"X21821_474.291_3.841_NA;[(2R,3R,4R,5R)-2-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl] 4-hydroxy-2-methoxy-6-methylbenzoate",32.0782074892572,1.57638588325711e-05,6,"Kruskal-Wallis rank sum test",0.000679265424197804,"Significant"
"X50572_353.138_6.591_NA",32.0487591853924,1.59701438753689e-05,6,"Kruskal-Wallis rank sum test",0.000684908245824781,"Significant"
"X50295_251.164_6.63_NA",32.0080315121751,1.62598568759556e-05,6,"Kruskal-Wallis rank sum test",0.000694059242799007,"Significant"
"X67316_209.117_8.763_NA",31.976793022304,1.64855941694544e-05,6,"Kruskal-Wallis rank sum test",0.000698357999380986,"Significant"
"X80263_856.608_10.561_NA",31.9728667894414,1.65141849831623e-05,6,"Kruskal-Wallis rank sum test",0.000698357999380986,"Significant"
"X72265_592.368_9.467_NA",31.949212195621,1.6687480639676e-05,6,"Kruskal-Wallis rank sum test",0.000702419323962657,"Significant"
"X15465_298.148_3.41_NA",31.9246896931449,1.6869037634335e-05,6,"Kruskal-Wallis rank sum test",0.00070678935562845,"Significant"
"X873_290.138_0.651_NA",31.8286244117045,1.7599327857945e-05,6,"Kruskal-Wallis rank sum test",0.000734004994882736,"Significant"
"X414_292.118_0.642_NA",31.7154363617761,1.85000806533569e-05,6,"Kruskal-Wallis rank sum test",0.000768049010503749,"Significant"
"X17675_430.264_3.616_NA",31.69671577655,1.86534006112054e-05,6,"Kruskal-Wallis rank sum test",0.000768813427648745,"Significant"
"X46778_231.138_6.152_Parthenolide CollisionEnergy:102040",31.692559341109,1.86876119127115e-05,6,"Kruskal-Wallis rank sum test",0.000768813427648745,"Significant"
"X75526_217.122_9.83_NA",31.6753133080319,1.88302282100193e-05,6,"Kruskal-Wallis rank sum test",0.000771191148132864,"Significant"
"X34782_302.074_5.086_NA",31.6371098719597,1.91500045329222e-05,6,"Kruskal-Wallis rank sum test",0.000780770588400578,"Significant"
"X68652_454.301_8.979_NA",31.5776754655207,1.96582215967856e-05,6,"Kruskal-Wallis rank sum test",0.000797913173026671,"Significant"
"X42921_317.149_5.788_NA",31.5474907918968,1.99214221796717e-05,6,"Kruskal-Wallis rank sum test",0.000805002535366999,"Significant"
"X72953_693.439_9.535_NA",31.5010103335379,2.03335607878603e-05,6,"Kruskal-Wallis rank sum test",0.000818020949925778,"Significant"
"X51762_332.187_6.709_NA",31.4343564559034,2.09393611156258e-05,6,"Kruskal-Wallis rank sum test",0.000838681371203833,"Significant"
"X35000_306.034_5.105_NA",31.4222426846736,2.10513650076034e-05,6,"Kruskal-Wallis rank sum test",0.000839469344952325,"Significant"
"X63855_690.499_8.263_NA",31.371423211257,2.1527746646883e-05,6,"Kruskal-Wallis rank sum test",0.000848899442324072,"Significant"
"X84843_284.331_10.862_NA",31.3699627022856,2.1541594200503e-05,6,"Kruskal-Wallis rank sum test",0.000848899442324072,"Significant"
"X89223_1294.363_11.95_Contaminant vial septum ThermoFisher C5000-44B",31.3671858602855,2.15679466758536e-05,6,"Kruskal-Wallis rank sum test",0.000848899442324072,"Significant"
"X2270_367.113_1.039_NA",31.3080596480459,2.21367023719753e-05,6,"Kruskal-Wallis rank sum test",0.000867529732612066,"Significant"
"X8072_339.166_2.458_NA",31.2176156128504,2.30355904923758e-05,6,"Kruskal-Wallis rank sum test",0.000897006090221741,"Significant"
"X33657_215.11_4.921_NA",31.2126312277506,2.30861664223369e-05,6,"Kruskal-Wallis rank sum test",0.000897006090221741,"Significant"
"X90613_1369.383_12.393_NA;Contaminant vial septum ThermoFisher C5000-44B",31.1977261100881,2.3238064080192e-05,6,"Kruskal-Wallis rank sum test",0.00089906586645577,"Significant"
"X53841_247.133_6.958_NA",31.1456594024963,2.37764863903908e-05,6,"Kruskal-Wallis rank sum test",0.000915147141157875,"Significant"
"X83683_441.263_10.736_NA",31.1381624718641,2.38550233671817e-05,6,"Kruskal-Wallis rank sum test",0.000915147141157875,"Significant"
"X18937_386.202_3.727_NA",31.1216826182665,2.40285689555468e-05,6,"Kruskal-Wallis rank sum test",0.000917931718251394,"Significant"
"X81696_345.242_10.618_NA",31.0771639042357,2.45036635353441e-05,6,"Kruskal-Wallis rank sum test",0.000932164472231584,"Significant"
"X80640_345.206_10.375_NA",31.031345917741,2.50023408359317e-05,6,"Kruskal-Wallis rank sum test",0.000947172012001212,"Significant"
"X66878_421.282_8.706_NA",30.9901178261172,2.54596481902928e-05,6,"Kruskal-Wallis rank sum test",0.000956633850785055,"Significant"
"X12875_388.187_3.278_NA;Spectral Match to Nonaethylene glycol from NIST14",30.9884566196031,2.54782471480126e-05,6,"Kruskal-Wallis rank sum test",0.000956633850785055,"Significant"
"X1918_254.16_0.908_NA",30.9804788213628,2.55677547009204e-05,6,"Kruskal-Wallis rank sum test",0.000956633850785055,"Significant"
"X78625_311.185_10.115_NA;2'-Hydroxy-a-naphthoflavone CollisionEnergy:205060",30.9496905054226,2.59161168900973e-05,6,"Kruskal-Wallis rank sum test",0.00096569399493756,"Significant"
"X47265_251.164_6.337_NA",30.893605483937,2.65628309332412e-05,6,"Kruskal-Wallis rank sum test",0.000984375726233743,"Significant"
"X77758_276.159_10.059_NA",30.8875153468385,2.66340110705566e-05,6,"Kruskal-Wallis rank sum test",0.000984375726233743,"Significant"
"X28862_182.19_4.693_NA",30.8289518109269,2.73282049384262e-05,6,"Kruskal-Wallis rank sum test",0.00100231632204561,"Significant"
"X82572_466.352_10.601_NA",30.827977159404,2.73399084763869e-05,6,"Kruskal-Wallis rank sum test",0.00100231632204561,"Significant"
"X16791_391.261_3.539_NA;Spectral Match to Nonaethylene glycol from NIST14",30.7576897171274,2.81971337605685e-05,6,"Kruskal-Wallis rank sum test",0.00102959172751441,"Significant"
"X64804_226.253_8.386_NA",30.7123397625508,2.87642956424228e-05,6,"Kruskal-Wallis rank sum test",0.00104609990392363,"Significant"
"X4350_222.185_2.003_NA",30.6936430634662,2.9001398968565e-05,6,"Kruskal-Wallis rank sum test",0.00105052079451073,"Significant"
"X26974_174.112_4.424_NA",30.6241456926539,2.98998271791193e-05,6,"Kruskal-Wallis rank sum test",0.00107876678060537,"Significant"
"X64716_593.394_8.445_NA",30.5435645590342,3.09760941925167e-05,6,"Kruskal-Wallis rank sum test",0.00111067721240604,"Significant"
"X84750_448.305_10.713_NA",30.5397048291385,3.10285978828787e-05,6,"Kruskal-Wallis rank sum test",0.00111067721240604,"Significant"
"X85126_538.43_10.9_NA",30.4251182373459,3.26281014839299e-05,6,"Kruskal-Wallis rank sum test",0.00116335175957604,"Significant"
"X27392_324.228_4.462_NA",30.3964887111741,3.30403230055847e-05,6,"Kruskal-Wallis rank sum test",0.0011716949567033,"Significant"
